,Player Name,Age,Overall Rating,Potential,Best Overall,Team,League,League Tier,Positions,Best Position,Height,Weight,foot,Growth,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,PAC,SHO,PAS,DRI,DEF,PHY,Value (M),Total Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,Freekick Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total Defending,Marking,Standing Tackle,Sliding Tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Total Base Stats,Joined,Loan Date End,contract_end_at_club,contract_started_at_club,years_at_club,Release Clause (M),Player ID,Image Page,Info Page,Team ID,Team Image Page
992,J. Brooks,27,76,79,78,VfL Wolfsburg,German 1. Bundesliga,1,CB,CB,193,78.0,Left,3,3 ★,2★,Medium,High,72,39,58,64,77,75,8.5,59.73,36,39,82,72,32,55.53,65,30,28,74,64,69.4,63,79,56,73,51,66.44,50,72,61,83,29,69.6,75,76,40,57,45,81,83.82,75,78,75,10.0,8,7,10,9,10,73.58,77.31,"Jul 1, 2017",,2022,2017,3.0,15.1,204082,https://cdn.sofifa.com/players/204/082/20_240.png,https://sofifa.com/player/204082/,175,https://cdn.sofifa.com/teams/175/dark_240.png
993,William,25,76,80,77,VfL Wolfsburg,German 1. Bundesliga,1,RB RM LB,RWB,170,67.1,Right,4,3 ★,3★,High,Low,73,50,69,77,72,69,8.5,59.95,77,32,50,75,28,74.04,77,64,66,64,77,82.76,78,69,78,75,84,77.93,76,68,74,63,65,77.67,76,85,70,54,42,64,78.31,72,73,68,8.86,7,10,8,7,7,82.86,82.33,"Jul 1, 2017",,2022,2017,3.0,15.1,229221,https://cdn.sofifa.com/players/229/221/20_240.png,https://sofifa.com/player/229221/,175,https://cdn.sofifa.com/teams/175/dark_240.png
994,M. Pongračić,22,76,85,78,VfL Wolfsburg,German 1. Bundesliga,1,CB,CB,190,94.8,Right,9,3 ★,2★,Medium,Medium,71,26,52,64,75,81,11.0,48.97,27,21,76,65,25,52.77,63,31,25,63,66,69.61,59,80,63,71,50,66.67,40,77,67,90,22,63.42,77,73,28,59,30,65,84.19,72,78,79,8.86,6,6,14,8,5,69.78,74.1,"Jan 15, 2020",,2024,2020,0.0,20.9,238370,https://cdn.sofifa.com/players/238/370/20_240.png,https://sofifa.com/player/238370/,175,https://cdn.sofifa.com/teams/175/dark_240.png
995,D. Abraham,33,76,76,76,Eintracht Frankfurt,German 1. Bundesliga,1,CB,CB,188,82.1,Right,0,2 ★,2★,Medium,Medium,74,55,59,52,77,77,3.6,67.96,44,46,79,68,60,60.64,44,45,67,70,59,72.2,69,78,59,74,55,82.43,74,81,68,80,63,68.65,79,76,31,49,54,76,83.82,77,79,72,10.23,6,10,12,9,8,79.66,79.12,"Jul 2, 2015",,2021,2015,5.0,6.1,160741,https://cdn.sofifa.com/players/160/741/20_240.png,https://sofifa.com/player/160741/,1824,https://cdn.sofifa.com/teams/1824/dark_240.png
996,M. Hasebe,36,76,76,76,Eintracht Frankfurt,German 1. Bundesliga,1,CB CDM,CB,180,72.1,Right,0,3 ★,3★,Medium,Medium,58,51,76,71,78,68,1.6,73.46,74,45,67,78,57,75.32,68,70,63,77,76,72.84,54,62,69,80,73,70.05,54,74,62,68,53,82.66,73,77,61,76,61,82,86.4,81,80,74,12.73,10,12,10,15,9,84.76,80.72,"Jul 1, 2014",,2021,2014,6.0,2.7,181098,https://cdn.sofifa.com/players/181/098/20_240.png,https://sofifa.com/player/181098/,1824,https://cdn.sofifa.com/teams/1824/dark_240.png
997,D. Kamada,23,76,80,78,Eintracht Frankfurt,German 1. Bundesliga,1,CAM CF ST,CAM,180,72.1,Right,4,4 ★,3★,High,Medium,75,70,73,82,36,61,10.0,76.43,74,71,53,76,60,78.72,84,73,68,65,80,82.97,83,69,81,72,80,75.68,74,68,70,59,65,71.97,55,28,75,74,71,80,38.97,30,42,34,10.0,6,10,11,6,11,81.09,79.72,"Jul 17, 2017",,2023,2017,3.0,17.8,232730,https://cdn.sofifa.com/players/232/730/20_240.png,https://sofifa.com/player/232730/,1824,https://cdn.sofifa.com/teams/1824/dark_240.png
998,F. Rønnow,27,76,78,76,Eintracht Frankfurt,German 1. Bundesliga,1,GK,GK,190,79.8,Right,2,2 ★,1★,Medium,Medium,77,72,67,78,46,76,6.5,15.33,14,9,12,25,7,16.6,13,16,7,30,12,52.37,48,45,34,76,40,50.68,50,63,32,67,13,25.65,17,12,14,48,17,31,14.34,15,11,13,84.09,77,72,67,76,78,48.79,83.53,"Jul 1, 2018",,2022,2018,2.0,11.5,201269,https://cdn.sofifa.com/players/201/269/20_240.png,https://sofifa.com/player/201269/,1824,https://cdn.sofifa.com/teams/1824/dark_240.png
999,R. Knoche,28,76,78,78,1. FC Union Berlin,German 1. Bundesliga,1,CB,CB,190,77.1,Right,2,4 ★,2★,Medium,Medium,51,41,50,49,80,72,8.0,55.38,30,38,82,64,28,50.43,42,33,39,69,54,60.34,50,52,52,77,49,67.34,58,67,62,77,35,62.95,72,80,37,39,37,71,86.03,79,81,74,13.41,14,10,16,10,9,69.78,68.88,"Aug 4, 2020",,2024,2020,0.0,15.0,203030,https://cdn.sofifa.com/players/203/030/20_240.png,https://sofifa.com/player/203030/,1831,https://cdn.sofifa.com/teams/1831/dark_240.png
1000,E. Bičakčić,30,76,76,76,TSG 1899 Hoffenheim,German 1. Bundesliga,1,CB,CB,185,84.8,Right,0,3 ★,2★,Medium,Medium,62,37,49,46,77,79,6.0,55.38,38,24,77,61,42,44.68,35,32,28,59,56,67.24,53,70,54,74,61,73.65,59,78,61,84,45,65.56,87,79,33,41,36,63,83.46,75,79,73,14.55,11,11,15,15,12,71.59,70.28,"Jul 1, 2014",,2022,2014,6.0,10.2,201860,https://cdn.sofifa.com/players/201/860/20_240.png,https://sofifa.com/player/201860/,10029,https://cdn.sofifa.com/teams/10029/dark_240.png
1001,D. Samassékou,24,76,82,77,TSG 1899 Hoffenheim,German 1. Bundesliga,1,CDM CM,CDM,175,68.0,Right,6,3 ★,3★,Medium,Medium,60,49,67,72,75,74,9.5,62.24,57,42,60,76,37,64.26,69,55,34,71,73,76.72,70,52,79,75,80,76.58,60,75,83,68,54,81.0,79,81,55,70,56,79,81.99,75,75,73,11.14,5,11,11,14,8,81.3,79.72,"Aug 15, 2019",,2024,2019,1.0,18.1,235424,https://cdn.sofifa.com/players/235/424/20_240.png,https://sofifa.com/player/235424/,10029,https://cdn.sofifa.com/teams/10029/dark_240.png
1002,J. Gouweleeuw,28,76,76,76,FC Augsburg,German 1. Bundesliga,1,CB,CB,188,78.0,Right,0,3 ★,2★,High,Medium,71,58,66,63,79,75,7.0,67.28,60,46,71,68,49,61.06,60,45,36,80,66,74.57,68,73,65,76,64,81.76,72,68,68,78,77,78.86,77,81,61,71,42,74,86.4,80,79,76,12.73,13,7,16,13,7,82.6,82.73,"Jan 9, 2016",,2024,2016,4.0,12.6,202201,https://cdn.sofifa.com/players/202/201/20_240.png,https://sofifa.com/player/202201/,100409,https://cdn.sofifa.com/teams/100409/dark_240.png
1003,T. Strobl,30,76,76,76,FC Augsburg,German 1. Bundesliga,1,CDM CB,CDM,188,87.1,Right,0,3 ★,2★,Medium,Medium,53,49,66,58,78,78,6.5,59.73,51,30,69,76,35,60.21,59,44,45,77,58,59.27,51,55,48,77,44,82.43,79,74,73,78,62,78.62,83,80,55,66,47,73,85.66,81,77,75,12.5,11,8,8,16,12,77.89,76.71,"Jul 1, 2020",,2023,2020,0.0,11.7,207894,https://cdn.sofifa.com/players/207/894/20_240.png,https://sofifa.com/player/207894/,100409,https://cdn.sofifa.com/teams/100409/dark_240.png
1004,A. Finnbogason,31,76,76,76,FC Augsburg,German 1. Bundesliga,1,ST,ST,183,79.8,Right,0,4 ★,3★,Medium,Medium,61,81,62,74,33,67,7.0,77.12,37,83,68,70,79,68.94,75,56,51,67,75,71.12,61,61,65,78,65,78.15,78,66,50,76,77,78.62,64,20,85,72,90,83,35.29,30,32,34,14.32,6,15,16,15,11,78.93,75.9,"Jul 2, 2014",,2022,2014,6.0,12.6,195586,https://cdn.sofifa.com/players/195/586/20_240.png,https://sofifa.com/player/195586/,100409,https://cdn.sofifa.com/teams/100409/dark_240.png
1005,B. Henrichs,23,76,80,76,RB Leipzig,German 1. Bundesliga,1,RB LB RM,RB,183,78.9,Right,4,4 ★,3★,High,Medium,75,53,71,75,73,69,9.0,71.85,74,50,63,74,53,72.13,76,73,49,66,75,78.88,74,75,75,73,69,71.17,62,66,74,68,46,78.86,68,74,62,69,59,75,81.25,73,74,74,12.73,8,9,13,12,14,83.94,83.53,"Aug 28, 2018","Jun 30, 2021",Loan,2021,-1.0,€0,228579,https://cdn.sofifa.com/players/228/579/20_240.png,https://sofifa.com/player/228579/,112172,https://cdn.sofifa.com/teams/112172/dark_240.png
1006,T. Adams,21,76,85,77,RB Leipzig,German 1. Bundesliga,1,CDM RWB,CDM,175,72.1,Right,9,3 ★,3★,High,High,76,48,67,72,73,75,11.0,62.93,52,48,65,77,33,65.32,70,52,42,72,71,84.7,78,74,79,77,85,75.23,51,83,86,68,46,80.05,76,74,65,71,51,75,80.51,74,76,69,10.45,6,13,12,8,7,82.51,82.53,"Jan 1, 2019",,2025,2019,1.0,20.9,232999,https://cdn.sofifa.com/players/232/999/20_240.png,https://sofifa.com/player/232999/,112172,https://cdn.sofifa.com/teams/112172/dark_240.png
1007,T. Leibold,26,76,77,76,Hamburger SV,German 2. Bundesliga,2,LB LM,LB,175,72.1,Left,1,3 ★,3★,High,Medium,81,58,74,76,70,71,8.0,73.0,80,55,54,73,57,74.89,74,74,60,70,74,87.5,88,75,85,73,85,76.8,66,78,78,65,54,83.14,74,72,71,74,59,69,78.68,70,72,72,13.41,15,10,14,13,7,88.13,86.35,"Jul 1, 2019",,2023,2019,1.0,13.4,221201,https://cdn.sofifa.com/players/221/201/20_240.png,https://sofifa.com/player/221201/,28,https://cdn.sofifa.com/teams/28/dark_240.png
1008,B. Djimsiti,27,76,78,78,Atalanta,Italian Serie A,1,CB,CB,190,83.0,Right,2,3 ★,2★,Medium,Medium,40,39,59,48,79,77,8.0,60.87,53,36,77,68,32,51.49,34,42,30,68,68,54.74,45,35,44,79,51,61.49,52,37,71,83,30,73.4,80,80,55,56,38,70,87.13,80,79,78,11.14,10,6,13,10,10,70.38,68.67,"Jan 18, 2016",,2022,2016,4.0,14.2,208165,https://cdn.sofifa.com/players/208/165/20_240.png,https://sofifa.com/player/208165/,39,https://cdn.sofifa.com/teams/39/dark_240.png
1009,J. Palomino,30,76,76,76,Atalanta,Italian Serie A,1,CB,CB,188,87.1,Left,0,3 ★,2★,Low,Medium,49,32,55,58,78,81,6.0,59.73,60,26,77,66,32,57.66,56,55,36,60,64,57.97,57,43,46,78,45,61.71,48,34,73,90,29,62.0,78,81,28,30,44,68,85.66,77,78,78,12.05,9,16,9,8,11,70.03,70.88,"Jul 7, 2017",,2023,2017,3.0,10.2,217196,https://cdn.sofifa.com/players/217/196/20_240.png,https://sofifa.com/player/217196/,39,https://cdn.sofifa.com/teams/39/dark_240.png
1010,M. Sportiello,28,76,76,76,Atalanta,Italian Serie A,1,GK,GK,193,87.1,Right,0,2 ★,1★,Medium,Medium,76,74,68,78,43,76,5.5,21.28,13,18,18,32,12,20.21,19,14,21,19,22,58.84,48,38,55,74,58,53.83,51,68,37,66,17,32.07,23,29,18,44,21,59,20.59,26,17,13,84.55,76,74,68,76,78,54.53,83.33,"Jun 22, 2012",,2021,2012,8.0,9.4,216065,https://cdn.sofifa.com/players/216/065/20_240.png,https://sofifa.com/player/216065/,39,https://cdn.sofifa.com/teams/39/dark_240.png
1011,C. Piccini,27,76,76,76,Atalanta,Italian Serie A,1,RB,RB,188,86.2,Right,0,2 ★,3★,Medium,High,76,42,64,70,75,76,7.0,62.24,69,32,67,70,34,65.11,71,64,37,62,72,76.08,74,77,63,76,63,73.2,68,70,73,79,35,73.4,74,77,66,57,35,80,83.46,73,78,76,9.09,8,9,5,7,11,79.1,80.92,"Jul 23, 2018","Jun 30, 2021",Loan,2021,-1.0,€0,201939,https://cdn.sofifa.com/players/201/939/20_240.png,https://sofifa.com/player/201939/,39,https://cdn.sofifa.com/teams/39/dark_240.png
1012,K. Asamoah,31,76,76,77,Inter,Italian Serie A,1,LM LB,CDM,173,74.8,Left,0,3 ★,4★,High,High,71,68,76,79,77,72,7.0,80.78,76,55,68,78,76,79.79,79,72,68,77,79,82.97,74,69,83,76,83,84.23,84,77,67,70,76,88.6,82,76,77,74,64,74,87.5,78,80,80,4.77,5,4,3,4,5,91.49,88.96,"Jul 2, 2018",,2021,2018,2.0,11.6,186832,https://cdn.sofifa.com/players/186/832/20_240.png,https://sofifa.com/player/186832/,44,https://cdn.sofifa.com/teams/44/dark_240.png
1013,M. Demiral,22,76,85,78,Juventus,Italian Serie A,1,CB,CB,193,84.8,Right,9,3 ★,2★,Medium,High,72,39,49,59,78,77,11.0,56.06,31,32,76,64,42,52.77,55,48,23,61,61,72.63,73,71,64,70,59,71.17,60,69,67,82,38,62.71,81,78,26,38,41,69,86.03,77,79,78,11.82,15,7,13,6,11,73.23,75.1,"Jul 5, 2019",,2024,2019,1.0,20.4,238160,https://cdn.sofifa.com/players/238/160/20_240.png,https://sofifa.com/player/238160/,45,https://cdn.sofifa.com/teams/45/dark_240.png
1014,V. Muriqi,26,76,79,78,Lazio,Italian Serie A,1,ST,ST,193,86.2,Left,3,3 ★,3★,High,High,60,76,55,68,28,82,9.5,76.43,35,80,79,70,70,58.51,69,58,30,42,76,60.34,50,68,49,75,38,82.88,78,57,75,91,67,72.21,73,18,79,63,71,73,25.74,23,25,22,11.36,8,9,14,9,10,72.58,74.1,"Sep 15, 2020",,2025,2020,0.0,16.9,223710,https://cdn.sofifa.com/players/223/710/20_240.png,https://sofifa.com/player/223710/,46,https://cdn.sofifa.com/teams/46/dark_240.png
1015,J. Lukaku,25,76,77,77,Lazio,Italian Serie A,1,LM LB,LM,178,86.2,Left,1,3 ★,3★,High,Medium,91,61,70,80,71,74,9.0,74.6,79,54,62,74,57,69.15,80,53,46,66,80,89.66,90,92,77,78,79,80.86,76,72,67,78,66,79.1,74,77,61,68,53,76,77.94,66,74,72,12.05,8,7,14,15,9,87.39,89.76,"Jul 22, 2016",,2022,2016,4.0,16.0,207537,https://cdn.sofifa.com/players/207/537/20_240.png,https://sofifa.com/player/207537/,46,https://cdn.sofifa.com/teams/46/dark_240.png
1016,D. Calabria,23,76,81,76,Milan,Italian Serie A,1,RB,RB,175,69.9,Right,5,3 ★,3★,Medium,Medium,73,43,67,72,75,66,9.0,68.65,76,30,64,72,58,70.43,70,76,48,66,71,81.25,75,72,78,74,78,69.82,62,68,74,58,48,69.12,76,75,42,50,48,74,83.46,76,76,75,12.73,8,14,15,12,7,81.69,79.52,"Jul 1, 2015",,2022,2015,5.0,16.0,228881,https://cdn.sofifa.com/players/228/881/20_240.png,https://sofifa.com/player/228881/,47,https://cdn.sofifa.com/teams/47/dark_240.png
1017,Lucas Paquetá,22,76,81,79,Milan,Italian Serie A,1,CM CAM,CAM,180,72.1,Left,5,2 ★,4★,High,Medium,75,74,75,81,59,75,10.0,78.72,68,72,56,78,70,83.62,84,80,73,76,80,79.09,73,76,74,74,70,86.26,77,81,82,69,74,86.7,78,58,80,74,75,82,65.44,58,64,56,12.95,14,9,12,11,11,90.11,88.15,"Jan 4, 2019",,2023,2019,1.0,17.8,233927,https://cdn.sofifa.com/players/233/927/20_240.png,https://sofifa.com/player/233927/,47,https://cdn.sofifa.com/teams/47/dark_240.png
1018,G. Di Lorenzo,26,76,77,76,Napoli,Italian Serie A,1,RB RM,RB,183,83.0,Right,1,3 ★,3★,Medium,Medium,70,69,71,74,75,74,8.0,81.01,76,68,71,73,66,75.96,75,69,69,71,73,77.16,68,71,72,75,72,82.43,72,75,78,72,69,81.24,74,75,70,64,59,72,82.72,76,75,74,9.77,8,10,8,10,7,88.3,86.95,"Jul 1, 2019",,2025,2019,1.0,14.2,217870,https://cdn.sofifa.com/players/217/870/20_240.png,https://sofifa.com/player/217870/,48,https://cdn.sofifa.com/teams/48/dark_240.png
1019,A. Petagna,25,76,81,78,Napoli,Italian Serie A,1,ST,ST,190,84.8,Left,5,3 ★,3★,Medium,Medium,61,75,68,76,40,81,10.5,81.92,60,78,78,76,66,69.36,78,59,45,64,80,69.18,54,66,57,73,71,85.59,80,70,76,92,62,75.53,62,22,79,75,80,71,38.97,59,27,20,3.86,3,3,3,5,3,78.84,80.52,"Jan 30, 2020",,2025,2020,0.0,18.6,215689,https://cdn.sofifa.com/players/215/689/20_240.png,https://sofifa.com/player/215689/,48,https://cdn.sofifa.com/teams/48/dark_240.png
1020,A. Rrahmani,26,76,80,78,Napoli,Italian Serie A,1,CB,CB,193,83.0,Right,4,4 ★,2★,High,Medium,62,51,54,59,78,80,9.0,61.33,49,43,75,62,39,53.83,59,49,21,60,64,61.21,54,69,49,65,47,80.18,60,72,73,85,66,66.27,78,70,49,48,34,65,88.24,78,82,80,10.91,12,8,13,8,7,74.61,77.11,"Jan 20, 2020",,2024,2020,0.0,16.0,244263,https://cdn.sofifa.com/players/244/263/20_240.png,https://sofifa.com/player/244263/,48,https://cdn.sofifa.com/teams/48/dark_240.png
1021,M. Darmian,30,76,76,76,Parma,Italian Serie A,1,RB LB,RB,183,69.9,Right,0,5 ★,3★,Medium,High,67,58,67,73,77,68,6.0,74.37,69,55,68,74,59,67.23,72,69,35,66,74,77.8,68,67,77,74,75,74.1,69,67,75,62,56,75.53,74,77,63,59,45,78,86.4,78,80,77,8.86,6,7,7,12,7,83.03,82.33,"Sep 2, 2019",,2023,2019,1.0,10.8,184392,https://cdn.sofifa.com/players/184/392/20_240.png,https://sofifa.com/player/184392/,50,https://cdn.sofifa.com/teams/50/dark_240.png
1022,S. Meïté,26,76,79,78,Torino,Italian Serie A,1,CM CDM,CM,188,79.8,Right,3,3 ★,3★,Medium,Medium,64,59,73,77,72,79,9.5,71.17,69,48,60,79,55,73.19,80,54,54,76,80,71.55,67,62,66,76,61,84.23,71,71,79,80,73,82.19,77,70,71,73,55,74,80.88,73,76,71,11.59,13,7,7,13,11,85.41,85.14,"Jul 10, 2018",,2023,2018,2.0,16.9,205391,https://cdn.sofifa.com/players/205/391/20_240.png,https://sofifa.com/player/205391/,54,https://cdn.sofifa.com/teams/54/dark_240.png
1023,Alex Berenguer,24,76,81,79,Torino,Italian Serie A,1,CF ST LW,RM,175,73.0,Right,5,3 ★,3★,High,Medium,80,72,73,79,63,63,10.5,78.95,77,74,49,77,68,75.96,79,74,66,59,79,85.56,86,75,78,78,80,74.77,74,64,72,54,68,85.04,72,65,77,75,69,68,71.69,65,64,66,12.95,14,16,8,6,13,88.13,86.35,"Jul 17, 2017",,2022,2017,3.0,18.6,225201,https://cdn.sofifa.com/players/225/201/20_240.png,https://sofifa.com/player/225201/,54,https://cdn.sofifa.com/teams/54/dark_240.png
1024,L. Skorupski,29,76,78,76,Bologna,Italian Serie A,1,GK,GK,188,83.9,Right,2,2 ★,1★,Medium,Medium,80,75,54,81,51,75,6.5,19.68,19,11,10,29,17,20.85,18,12,19,26,23,55.17,51,51,48,68,38,47.52,41,66,31,58,15,27.79,33,17,13,32,22,58,15.44,18,12,12,82.95,80,75,54,75,81,50.73,83.53,"Jul 1, 2018",,2023,2018,2.0,12.2,189908,https://cdn.sofifa.com/players/189/908/20_240.png,https://sofifa.com/player/189908/,189,https://cdn.sofifa.com/teams/189/dark_240.png
1025,A. Poli,30,76,76,76,Bologna,Italian Serie A,1,CDM CM,CDM,183,77.1,Right,0,3 ★,3★,High,Medium,68,65,75,78,73,67,6.5,77.35,68,56,65,80,69,79.15,78,72,68,74,80,77.16,67,68,72,76,75,77.25,72,65,72,62,72,86.94,73,74,74,77,68,74,80.88,76,72,72,5.68,5,5,5,5,5,87.31,85.54,"Jul 1, 2017",,2022,2017,3.0,11.7,185174,https://cdn.sofifa.com/players/185/174/20_240.png,https://sofifa.com/player/185174/,189,https://cdn.sofifa.com/teams/189/dark_240.png
1026,N. Sansone,28,76,76,77,Bologna,Italian Serie A,1,CAM LW ST,CAM,173,63.0,Right,0,3 ★,3★,Medium,Medium,78,76,72,79,44,58,8.0,81.92,70,77,63,75,73,78.09,79,76,69,65,78,85.78,78,78,84,74,84,75.0,78,65,61,54,75,77.43,62,38,76,76,74,75,45.22,46,44,33,12.5,11,7,14,9,14,84.63,81.73,"Jul 1, 2019",,2023,2019,1.0,14.4,201858,https://cdn.sofifa.com/players/201/858/20_240.png,https://sofifa.com/player/201858/,189,https://cdn.sofifa.com/teams/189/dark_240.png
1027,D. Lazović,29,76,76,76,Hellas Verona,Italian Serie A,1,LM RM,LM,180,66.2,Right,0,4 ★,3★,Medium,Medium,85,69,72,77,61,56,7.5,77.8,76,67,54,73,70,77.45,78,66,74,68,78,83.84,82,88,77,68,74,70.5,76,44,82,39,72,75.06,67,60,72,68,49,68,69.12,62,64,62,12.5,14,10,11,11,9,84.84,84.34,"Aug 6, 2019",,2022,2019,1.0,13.5,212127,https://cdn.sofifa.com/players/212/127/20_240.png,https://sofifa.com/player/212127/,206,https://cdn.sofifa.com/teams/206/dark_240.png
1028,Gabriel,27,76,79,76,Lecce,Italian Serie A,1,GK,GK,193,89.8,Right,3,2 ★,1★,Medium,Medium,78,73,68,79,36,75,7.0,16.7,14,5,12,32,10,17.87,20,12,12,17,23,51.72,38,34,51,69,48,53.15,51,72,34,60,19,30.88,28,25,10,45,22,65,17.65,16,19,13,84.77,78,73,68,75,79,51.12,82.13,"Jul 3, 2019",,2021,2019,1.0,13.1,201931,https://cdn.sofifa.com/players/201/931/20_240.png,https://sofifa.com/player/201931/,347,https://cdn.sofifa.com/teams/347/dark_240.png
1029,K. Baldé,25,76,79,79,Sampdoria,Italian Serie A,1,ST LM LW,RM,180,79.8,Right,3,4 ★,4★,High,Medium,91,74,71,79,30,70,10.0,82.84,74,76,70,74,68,74.47,81,69,58,64,78,87.72,90,91,79,70,77,84.46,79,78,73,75,70,68.65,54,31,74,70,60,79,27.21,17,29,28,12.73,12,8,13,8,15,82.6,83.33,"Aug 29, 2017","Jun 30, 2021",Loan,2021,-1.0,€0,215785,https://cdn.sofifa.com/players/215/785/20_240.png,https://sofifa.com/player/215785/,1837,https://cdn.sofifa.com/teams/1837/dark_240.png
1030,G. Simeone,24,76,81,78,Cagliari,Italian Serie A,1,ST,ST,180,81.2,Right,5,3 ★,3★,High,High,76,75,59,76,39,71,10.5,77.12,40,78,79,68,72,71.49,76,69,60,55,76,81.25,77,76,75,76,73,83.56,79,84,73,69,66,72.45,70,24,80,60,71,76,38.97,51,29,26,13.86,12,15,9,14,11,81.74,79.52,"Aug 31, 2020",,2024,2020,0.0,18.6,216816,https://cdn.sofifa.com/players/216/816/20_240.png,https://sofifa.com/player/216816/,1842,https://cdn.sofifa.com/teams/1842/dark_240.png
1031,M. Cáceres,33,76,76,76,Fiorentina,Italian Serie A,1,CB RB,CB,180,78.0,Right,0,3 ★,3★,Medium,High,72,51,63,68,78,71,3.6,70.71,66,37,75,66,65,65.32,66,68,41,64,68,79.09,70,74,77,70,76,79.5,70,91,61,72,59,75.06,78,80,50,58,50,78,86.03,78,78,78,3.41,2,3,4,2,4,82.08,80.92,"Aug 30, 2019",,2022,2019,1.0,6.1,182495,https://cdn.sofifa.com/players/182/495/20_240.png,https://sofifa.com/player/182495/,110374,https://cdn.sofifa.com/teams/110374/dark_240.png
1032,E. Pulgar,26,76,78,77,Fiorentina,Italian Serie A,1,CDM CM,CDM,188,73.9,Right,2,3 ★,3★,Medium,High,61,61,75,74,73,76,8.5,73.91,73,49,69,78,54,80.0,74,77,71,76,78,71.12,63,59,66,74,68,84.91,78,78,80,73,68,85.75,80,72,58,72,79,76,80.88,72,76,72,13.86,12,12,11,15,11,88.43,84.34,"Aug 9, 2019",,2023,2019,1.0,15.1,213629,https://cdn.sofifa.com/players/213/629/20_240.png,https://sofifa.com/player/213629/,110374,https://cdn.sofifa.com/teams/110374/dark_240.png
1033,M. Badelj,31,76,76,76,Genoa,Italian Serie A,1,CDM CM,CDM,185,79.8,Right,0,4 ★,3★,Medium,Medium,52,63,75,72,74,69,6.0,76.66,69,54,66,80,66,74.47,72,64,58,79,77,65.3,53,51,65,70,64,75.9,72,54,69,68,74,85.27,76,76,62,77,68,72,81.62,74,76,72,11.82,8,9,14,15,6,84.54,81.33,"Sep 16, 2020",,2023,2020,0.0,10.8,201144,https://cdn.sofifa.com/players/201/144/20_240.png,https://sofifa.com/player/201144/,110556,https://cdn.sofifa.com/teams/110556/dark_240.png
1034,Pedro Obiang,28,76,77,76,Sassuolo,Italian Serie A,1,CDM CM,CDM,185,74.8,Right,1,3 ★,3★,Medium,Medium,57,59,74,73,75,72,7.5,74.37,68,50,70,77,60,73.83,74,56,62,79,76,66.81,58,57,63,69,63,79.95,74,72,72,72,65,81.71,71,76,60,78,59,76,83.46,72,78,77,8.18,9,7,7,6,7,83.94,82.33,"Jul 24, 2019",,2023,2019,1.0,13.3,200054,https://cdn.sofifa.com/players/200/054/20_240.png,https://sofifa.com/player/200054/,111974,https://cdn.sofifa.com/teams/111974/dark_240.png
1035,G. Defrel,29,76,76,78,Sassuolo,Italian Serie A,1,ST RW,ST,178,77.1,Left,0,3 ★,4★,High,Medium,82,77,68,81,36,51,7.5,81.69,70,77,68,67,75,76.81,83,67,69,60,82,84.27,85,79,80,75,72,67.79,79,42,49,53,78,74.35,53,37,79,75,69,75,30.51,50,15,18,13.41,14,15,11,12,7,80.53,79.32,"Sep 1, 2020",,2024,2020,0.0,12.8,202851,https://cdn.sofifa.com/players/202/851/20_240.png,https://sofifa.com/player/202851/,111974,https://cdn.sofifa.com/teams/111974/dark_240.png
1036,E. Berisha,31,76,76,76,SPAL,Italian Serie A,1,GK,GK,193,92.1,Left,0,2 ★,1★,Medium,Medium,76,76,67,78,28,75,4.9,15.1,11,13,12,19,11,17.02,12,13,12,26,17,41.38,28,28,33,73,30,50.68,50,57,39,64,15,30.4,30,22,12,42,22,59,15.07,20,10,11,84.55,76,76,67,75,78,47.67,80.32,"Sep 2, 2020",,2023,2020,0.0,8.8,189296,https://cdn.sofifa.com/players/189/296/20_240.png,https://sofifa.com/player/189296/,112791,https://cdn.sofifa.com/teams/112791/dark_240.png
1037,F. Di Francesco,26,76,76,76,SPAL,Italian Serie A,1,LW RW CF,LW,170,74.8,Right,0,4 ★,4★,Medium,Medium,79,67,73,81,40,60,8.5,74.6,77,60,40,77,72,80.64,83,78,69,67,82,82.97,76,81,79,72,77,72.52,74,44,72,62,70,68.17,42,34,74,68,69,74,44.85,48,38,36,9.55,11,10,6,10,5,80.44,80.32,"Jul 5, 2018",,2021,2018,2.0,15.3,213814,https://cdn.sofifa.com/players/213/814/20_240.png,https://sofifa.com/player/213814/,112791,https://cdn.sofifa.com/teams/112791/dark_240.png
1038,Ansu Fati,17,76,90,76,FC Barcelona,Spain Primera Division,1,LW RW,LW,178,66.2,Right,14,4 ★,4★,High,Medium,88,71,68,79,29,53,15.0,76.2,69,75,58,72,59,71.06,79,64,45,69,77,89.87,89,87,89,70,82,72.52,67,73,64,48,70,65.56,48,19,68,67,74,73,30.51,23,32,28,9.09,6,9,8,10,7,77.94,77.91,"Jul 1, 2018",,2022,2018,2.0,40.1,253004,https://cdn.sofifa.com/players/253/004/20_240.png,https://sofifa.com/player/253004/,241,https://cdn.sofifa.com/teams/241/dark_240.png
